44 3
255 250 250 
255 228 181 
230 230 250 
0 0 0   
72 61 139   
135 206 250 
224 255 255 
32 178 170  
127 255 0   
107 142 35  
255 255 0   
205 92 92   
205 133 63  
165 42 42   
255 0 0 
238 130 238 
160 32 240  
255 239 219 
139 125 107 
255 250 205 
255 255 240 
193 205 193 
255 228 225 
131 111 255 
0 0 255 
0 0 139 
99 184 255  
0 178 238   
191 239 255 
224 255 255 
255 193 37  
139 101 8   
255 106 106 
205 38 38   
255 127 0   
255 0 0 
205 16 118  
255 0 255   
154 50 205  
104 34 139  
28 28 28    
232 232 232 
139 0 0 
205 181 205 
